Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Rachel Serna,798,2:53.4,49,49,31.21,3:22.71,0.94,2:53.4,31.21,3:22.71,0.94,12:21.5,133,133,1:50.4,12:33.01,0.1,12:21.5,2:04.57,12:58.75,0.3,C+116,170,170,36.49,25:05.84,,32:20,2:28.76,31:44.03,-0.24,2:54.3,103,103,25.83,2:18.15,-1.4,2:54.3,37.92,2:55.74,0.04,157,124,124,16.06,155.2,0.11,157.0,16.06,155.2,0.11,C+23,116,116,46.45,14:52.56,,16:23,1:11.71,16:43.43,0.28,2:57.8,103,103,1:06.6,3:21.34,0.35,2:57.8,1:28.13,3:52.03,0.62
Lauren Fisher,799,3:34.1,217,217,31.21,3:22.71,-0.36,3:34.1,31.21,3:22.71,-0.36,10:51.6,50,50,1:50.4,12:33.01,0.92,10:51.6,2:04.57,12:58.75,1.02,C+82,76,76,36.49,25:05.84,,30:06,2:28.76,31:44.03,0.66,C+50,287,287,25.83,2:18.15,,3:50,37.92,2:55.74,-1.43,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,2:37.3,76,76,1:06.6,3:21.34,0.66,2:37.3,1:28.13,3:52.03,0.85
Heather Soukas,807,2:59.7,75,75,31.21,3:22.71,0.74,2:59.7,31.21,3:22.71,0.74,12:29.1,144,144,1:50.4,12:33.01,0.04,12:29.1,2:04.57,12:58.75,0.24,C+97,101,101,36.49,25:05.84,,30:51,2:28.76,31:44.03,0.36,2:31.7,76,76,25.83,2:18.15,-0.52,2:31.7,37.92,2:55.74,0.63,177,18,18,16.06,155.2,1.36,177.0,16.06,155.2,1.36,C+54,196,196,46.45,14:52.56,,16:54,1:11.71,16:43.43,-0.15,4:21.1,197,197,1:06.6,3:21.34,-0.9,4:21.1,1:28.13,3:52.03,-0.33
Lindsay Vaughan,807,3:07.3,109,109,31.21,3:22.71,0.49,3:07.3,31.21,3:22.71,0.49,10:16.0,33,33,1:50.4,12:33.01,1.24,10:16,2:04.57,12:58.75,1.31,C+71,54,54,36.49,25:05.84,,29:33,2:28.76,31:44.03,0.88,2:01.4,32,32,25.83,2:18.15,0.65,2:01.4,37.92,2:55.74,1.43,161,105,105,16.06,155.2,0.36,161.0,16.06,155.2,0.36,C+159,287,287,46.45,14:52.56,,18:39,1:11.71,16:43.43,-1.61,4:09.9,187,187,1:06.6,3:21.34,-0.73,4:09.9,1:28.13,3:52.03,-0.2
Lisa Warren,819,3:15.7,139,139,31.21,3:22.71,0.22,3:15.7,31.21,3:22.71,0.22,14:08.8,211,211,1:50.4,12:33.01,-0.87,14:08.8,2:04.57,12:58.75,-0.56,C+135,258,258,36.49,25:05.84,,33:55,2:28.76,31:44.03,-0.88,2:26.6,67,67,25.83,2:18.15,-0.33,2:26.6,37.92,2:55.74,0.77,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,15:10.3,28,28,46.45,14:52.56,-0.38,15:10.3,1:11.71,16:43.43,1.3,1:29.9,6,6,1:06.6,3:21.34,1.67,1:29.9,1:28.13,3:52.03,1.61
Carlie Stone,824,2:50.8,42,42,31.21,3:22.71,1.02,2:50.8,31.21,3:22.71,1.02,12:16.0,129,129,1:50.4,12:33.01,0.15,12:16,2:04.57,12:58.75,0.34,C+80,69,69,36.49,25:05.84,,30:00,2:28.76,31:44.03,0.7,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+26,129,129,46.45,14:52.56,,16:26,1:11.71,16:43.43,0.24,2:54.9,98,98,1:06.6,3:21.34,0.4,2:54.9,1:28.13,3:52.03,0.65
Marisa Hardy,825,2:46.3,29,29,31.21,3:22.71,1.17,2:46.3,31.21,3:22.71,1.17,15:36.4,262,262,1:50.4,12:33.01,-1.66,15:36.4,2:04.57,12:58.75,-1.27,C+130,236,236,36.49,25:05.84,,33:30,2:28.76,31:44.03,-0.71,2:46.8,91,91,25.83,2:18.15,-1.11,2:46.8,37.92,2:55.74,0.24,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,15:28.9,35,35,46.45,14:52.56,-0.78,15:28.9,1:11.71,16:43.43,1.04,3:11.0,110,110,1:06.6,3:21.34,0.16,3:11,1:28.13,3:52.03,0.47
Jenny Borda,825,3:32.6,210,210,31.21,3:22.71,-0.32,3:32.6,31.21,3:22.71,-0.32,13:05.4,167,167,1:50.4,12:33.01,-0.29,13:05.4,2:04.57,12:58.75,-0.05,C+110,143,143,36.49,25:05.84,,31:50,2:28.76,31:44.03,-0.04,2:31.2,75,75,25.83,2:18.15,-0.51,2:31.2,37.92,2:55.74,0.65,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,3:30.1,137,137,1:06.6,3:21.34,-0.13,3:30.1,1:28.13,3:52.03,0.25
Jaime Gold,829,3:33.6,215,215,31.21,3:22.71,-0.35,3:33.6,31.21,3:22.71,-0.35,12:10.5,124,124,1:50.4,12:33.01,0.2,12:10.5,2:04.57,12:58.75,0.39,C+120,188,188,36.49,25:05.84,,32:40,2:28.76,31:44.03,-0.38,2:26.8,68,68,25.83,2:18.15,-0.34,2:26.8,37.92,2:55.74,0.76,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,C+11,85,85,46.45,14:52.56,,16:11,1:11.71,16:43.43,0.45,2:20.3,57,57,1:06.6,3:21.34,0.92,2:20.3,1:28.13,3:52.03,1.04
Beth Spearman,830,3:08.4,114,114,31.21,3:22.71,0.46,3:08.4,31.21,3:22.71,0.46,12:11.8,125,125,1:50.4,12:33.01,0.19,12:11.8,2:04.57,12:58.75,0.38,C+107,133,133,36.49,25:05.84,,31:35,2:28.76,31:44.03,0.06,2:26.8,68,68,25.83,2:18.15,-0.34,2:26.8,37.92,2:55.74,0.76,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,C+64,219,219,46.45,14:52.56,,17:04,1:11.71,16:43.43,-0.29,3:17.5,120,120,1:06.6,3:21.34,0.06,3:17.5,1:28.13,3:52.03,0.39
Andrea Ager,834,2:55.9,56,56,31.21,3:22.71,0.86,2:55.9,31.21,3:22.71,0.86,8:32.0,5,5,1:50.4,12:33.01,2.18,8:32,2:04.57,12:58.75,2.14,C+103,119,119,36.49,25:05.84,,31:15,2:28.76,31:44.03,0.2,C+3,140,140,25.83,2:18.15,,3:03,37.92,2:55.74,-0.19,145,214,214,16.06,155.2,-0.63,145.0,16.06,155.2,-0.63,C+69,223,223,46.45,14:52.56,,17:09,1:11.71,16:43.43,-0.36,2:38.3,77,77,1:06.6,3:21.34,0.65,2:38.3,1:28.13,3:52.03,0.84
Jessie Jo Young,840,3:02.5,91,91,31.21,3:22.71,0.65,3:02.5,31.21,3:22.71,0.65,11:07.8,61,61,1:50.4,12:33.01,0.77,11:07.8,2:04.57,12:58.75,0.89,C+108,136,136,36.49,25:05.84,,31:40,2:28.76,31:44.03,0.03,2:53.8,102,102,25.83,2:18.15,-1.38,2:53.8,37.92,2:55.74,0.05,145,214,214,16.06,155.2,-0.63,145.0,16.06,155.2,-0.63,C+25,122,122,46.45,14:52.56,,16:25,1:11.71,16:43.43,0.26,3:13.4,114,114,1:06.6,3:21.34,0.12,3:13.4,1:28.13,3:52.03,0.44
Kelly Munroe,844,2:41.9,16,16,31.21,3:22.71,1.31,2:41.9,31.21,3:22.71,1.31,11:16.7,69,69,1:50.4,12:33.01,0.69,11:16.7,2:04.57,12:58.75,0.82,25:48.7,10,10,36.49,25:05.84,-1.17,25:48.7,2:28.76,31:44.03,2.39,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+53,187,187,46.45,14:52.56,,16:53,1:11.71,16:43.43,-0.13,4:30.0,204,204,1:06.6,3:21.34,-1.03,4:30,1:28.13,3:52.03,-0.43
Kate Brierley,856,3:20.4,161,161,31.21,3:22.71,0.07,3:20.4,31.21,3:22.71,0.07,13:20.4,175,175,1:50.4,12:33.01,-0.43,13:20.4,2:04.57,12:58.75,-0.17,C+112,152,152,36.49,25:05.84,,32:00,2:28.76,31:44.03,-0.11,C+5,154,154,25.83,2:18.15,,3:05,37.92,2:55.74,-0.24,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,C+13,89,89,46.45,14:52.56,,16:13,1:11.71,16:43.43,0.42,2:36.2,74,74,1:06.6,3:21.34,0.68,2:36.2,1:28.13,3:52.03,0.86
Annie Sakamoto,863,3:44.1,247,247,31.21,3:22.71,-0.69,3:44.1,31.21,3:22.71,-0.69,11:17.2,70,70,1:50.4,12:33.01,0.69,11:17.2,2:04.57,12:58.75,0.82,C+100,112,112,36.49,25:05.84,,31:00,2:28.76,31:44.03,0.3,2:59.5,111,111,25.83,2:18.15,-1.6,2:59.5,37.92,2:55.74,-0.1,135,261,261,16.06,155.2,-1.26,135.0,16.06,155.2,-1.26,15:06.3,27,27,46.45,14:52.56,-0.3,15:06.3,1:11.71,16:43.43,1.35,2:05.4,35,35,1:06.6,3:21.34,1.14,2:05.4,1:28.13,3:52.03,1.21
Andrea Miller,864,3:05.5,104,104,31.21,3:22.71,0.55,3:05.5,31.21,3:22.71,0.55,12:01.1,114,114,1:50.4,12:33.01,0.29,12:01.1,2:04.57,12:58.75,0.46,C+143,277,277,36.49,25:05.84,,34:35,2:28.76,31:44.03,-1.15,2:00.8,30,30,25.83,2:18.15,0.67,2:00.8,37.92,2:55.74,1.45,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+59,213,213,46.45,14:52.56,,16:59,1:11.71,16:43.43,-0.22,3:01.1,106,106,1:06.6,3:21.34,0.3,3:01.1,1:28.13,3:52.03,0.58
Kristan Clever,870,3:14.5,136,136,31.21,3:22.71,0.26,3:14.5,31.21,3:22.71,0.26,11:53.6,102,102,1:50.4,12:33.01,0.36,11:53.6,2:04.57,12:58.75,0.52,C+132,243,243,36.49,25:05.84,,33:40,2:28.76,31:44.03,-0.78,1:54.5,21,21,25.83,2:18.15,0.92,1:54.5,37.92,2:55.74,1.61,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,3:42.9,154,154,1:06.6,3:21.34,-0.32,3:42.9,1:28.13,3:52.03,0.1
Sarabeth Phillips,872,3:00.2,80,80,31.21,3:22.71,0.72,3:00.2,31.21,3:22.71,0.72,15:08.7,253,253,1:50.4,12:33.01,-1.41,15:08.7,2:04.57,12:58.75,-1.04,C+127,220,220,36.49,25:05.84,,33:15,2:28.76,31:44.03,-0.61,2:27.1,70,70,25.83,2:18.15,-0.35,2:27.1,37.92,2:55.74,0.76,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+25,122,122,46.45,14:52.56,,16:25,1:11.71,16:43.43,0.26,2:17.8,53,53,1:06.6,3:21.34,0.95,2:17.8,1:28.13,3:52.03,1.07
Lindsay Eder,873,3:24.4,176,176,31.21,3:22.71,-0.05,3:24.4,31.21,3:22.71,-0.05,11:22.7,77,77,1:50.4,12:33.01,0.64,11:22.7,2:04.57,12:58.75,0.77,C+63,48,48,36.49,25:05.84,,29:09,2:28.76,31:44.03,1.04,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,4:16.0,191,191,1:06.6,3:21.34,-0.82,4:16,1:28.13,3:52.03,-0.27
Megin Oczkowski,873,3:00.5,81,81,31.21,3:22.71,0.71,3:00.5,31.21,3:22.71,0.71,C+1,276,276,1:50.4,12:33.01,,16:01,2:04.57,12:58.75,-1.46,C+134,253,253,36.49,25:05.84,,33:50,2:28.76,31:44.03,-0.85,2:04.5,38,38,25.83,2:18.15,0.53,2:04.5,37.92,2:55.74,1.35,173,40,40,16.06,155.2,1.11,173.0,16.06,155.2,1.11,C+28,135,135,46.45,14:52.56,,16:28,1:11.71,16:43.43,0.22,2:15.8,50,50,1:06.6,3:21.34,0.98,2:15.8,1:28.13,3:52.03,1.09
Bianca Casciari,883,4:10.1,293,293,31.21,3:22.71,-1.52,4:10.1,31.21,3:22.71,-1.52,13:36.8,186,186,1:50.4,12:33.01,-0.58,13:36.8,2:04.57,12:58.75,-0.31,C+119,185,185,36.49,25:05.84,,32:35,2:28.76,31:44.03,-0.34,2:45.9,90,90,25.83,2:18.15,-1.07,2:45.9,37.92,2:55.74,0.26,186,8,8,16.06,155.2,1.92,186.0,16.06,155.2,1.92,C+18,99,99,46.45,14:52.56,,16:18,1:11.71,16:43.43,0.35,1:56.0,22,22,1:06.6,3:21.34,1.28,1:56,1:28.13,3:52.03,1.32
Melissa Doss,893,2:52.1,44,44,31.21,3:22.71,0.98,2:52.1,31.21,3:22.71,0.98,13:46.0,194,194,1:50.4,12:33.01,-0.66,13:46,2:04.57,12:58.75,-0.38,C+118,180,180,36.49,25:05.84,,32:30,2:28.76,31:44.03,-0.31,2:30.9,73,73,25.83,2:18.15,-0.49,2:30.9,37.92,2:55.74,0.66,145,214,214,16.06,155.2,-0.63,145.0,16.06,155.2,-0.63,C+42,157,157,46.45,14:52.56,,16:42,1:11.71,16:43.43,0.02,2:02.8,31,31,1:06.6,3:21.34,1.18,2:02.8,1:28.13,3:52.03,1.24
Emily Morris,896,3:36.6,231,231,31.21,3:22.71,-0.44,3:36.6,31.21,3:22.71,-0.44,14:49.8,240,240,1:50.4,12:33.01,-1.24,14:49.8,2:04.57,12:58.75,-0.89,C+87,84,84,36.49,25:05.84,,30:21,2:28.76,31:44.03,0.56,1:44.7,13,13,25.83,2:18.15,1.29,1:44.7,37.92,2:55.74,1.87,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,C+40,156,156,46.45,14:52.56,,16:40,1:11.71,16:43.43,0.05,3:42.5,152,152,1:06.6,3:21.34,-0.32,3:42.5,1:28.13,3:52.03,0.11
Chely Galvan,898,3:03.1,93,93,31.21,3:22.71,0.63,3:03.1,31.21,3:22.71,0.63,12:13.3,126,126,1:50.4,12:33.01,0.18,12:13.3,2:04.57,12:58.75,0.36,C+78,66,66,36.49,25:05.84,,29:54,2:28.76,31:44.03,0.74,2:57.7,107,107,25.83,2:18.15,-1.53,2:57.7,37.92,2:55.74,-0.05,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,C+51,178,178,46.45,14:52.56,,16:51,1:11.71,16:43.43,-0.11,2:45.6,86,86,1:06.6,3:21.34,0.54,2:45.6,1:28.13,3:52.03,0.75
Harriet Roberts,899,3:36.1,226,226,31.21,3:22.71,-0.43,3:36.1,31.21,3:22.71,-0.43,12:03.2,117,117,1:50.4,12:33.01,0.27,12:03.2,2:04.57,12:58.75,0.45,C+85,81,81,36.49,25:05.84,,30:15,2:28.76,31:44.03,0.6,2:33.9,78,78,25.83,2:18.15,-0.61,2:33.9,37.92,2:55.74,0.58,158,122,122,16.06,155.2,0.17,158.0,16.06,155.2,0.17,C+16,94,94,46.45,14:52.56,,16:16,1:11.71,16:43.43,0.38,4:03.4,181,181,1:06.6,3:21.34,-0.63,4:03.4,1:28.13,3:52.03,-0.13
Elia Navarro,906,3:04.1,97,97,31.21,3:22.71,0.6,3:04.1,31.21,3:22.71,0.6,14:22.6,223,223,1:50.4,12:33.01,-0.99,14:22.6,2:04.57,12:58.75,-0.67,C+121,194,194,36.49,25:05.84,,32:45,2:28.76,31:44.03,-0.41,C+3,140,140,25.83,2:18.15,,3:03,37.92,2:55.74,-0.19,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+29,138,138,46.45,14:52.56,,16:29,1:11.71,16:43.43,0.2,2:10.7,40,40,1:06.6,3:21.34,1.06,2:10.699,1:28.13,3:52.03,1.15
Marcella Morrill,907,2:58.1,65,65,31.21,3:22.71,0.79,2:58.1,31.21,3:22.71,0.79,13:13.1,173,173,1:50.4,12:33.01,-0.36,13:13.1,2:04.57,12:58.75,-0.12,C+103,119,119,36.49,25:05.84,,31:15,2:28.76,31:44.03,0.2,1:55.2,23,23,25.83,2:18.15,0.89,1:55.2,37.92,2:55.74,1.6,126,289,289,16.06,155.2,-1.82,126.0,16.06,155.2,-1.82,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,3:51.5,165,165,1:06.6,3:21.34,-0.45,3:51.5,1:28.13,3:52.03,0.01
Katelyn Teager,907,3:28.5,195,195,31.21,3:22.71,-0.19,3:28.5,31.21,3:22.71,-0.19,13:48.4,197,197,1:50.4,12:33.01,-0.68,13:48.4,2:04.57,12:58.75,-0.4,C+132,243,243,36.49,25:05.84,,33:40,2:28.76,31:44.03,-0.78,1:56.9,28,28,25.83,2:18.15,0.82,1:56.9,37.92,2:55.74,1.55,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,15:37.3,38,38,46.45,14:52.56,-0.96,15:37.3,1:11.71,16:43.43,0.92,2:31.2,65,65,1:06.6,3:21.34,0.75,2:31.2,1:28.13,3:52.03,0.92
Brittany Brown,908,3:21.6,166,166,31.21,3:22.71,0.04,3:21.6,31.21,3:22.71,0.04,11:01.2,56,56,1:50.4,12:33.01,0.83,11:01.2,2:04.57,12:58.75,0.94,C+112,152,152,36.49,25:05.84,,32:00,2:28.76,31:44.03,-0.11,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+52,185,185,46.45,14:52.56,,16:52,1:11.71,16:43.43,-0.12,3:20.6,125,125,1:06.6,3:21.34,0.01,3:20.6,1:28.13,3:52.03,0.36
Hjördís Óskarsdóttir,910,3:22.9,173,173,31.21,3:22.71,-0.01,3:22.9,31.21,3:22.71,-0.01,13:06.5,168,168,1:50.4,12:33.01,-0.3,13:06.5,2:04.57,12:58.75,-0.06,C+118,180,180,36.49,25:05.84,,32:30,2:28.76,31:44.03,-0.31,C+3,140,140,25.83,2:18.15,,3:03,37.92,2:55.74,-0.19,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+27,133,133,46.45,14:52.56,,16:27,1:11.71,16:43.43,0.23,2:12.7,42,42,1:06.6,3:21.34,1.03,2:12.7,1:28.13,3:52.03,1.13
Whitney Darchuk-Parenteau,919,3:41.9,243,243,31.21,3:22.71,-0.61,3:41.9,31.21,3:22.71,-0.61,9:27.9,14,14,1:50.4,12:33.01,1.68,9:27.9,2:04.57,12:58.75,1.69,C+97,101,101,36.49,25:05.84,,30:51,2:28.76,31:44.03,0.36,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,150,183,183,16.06,155.2,-0.32,150.0,16.06,155.2,-0.32,C+50,171,171,46.45,14:52.56,,16:50,1:11.71,16:43.43,-0.09,2:39.4,80,80,1:06.6,3:21.34,0.63,2:39.4,1:28.13,3:52.03,0.82
Alexandra LaChance,920,3:29.6,200,200,31.21,3:22.71,-0.22,3:29.6,31.21,3:22.71,-0.22,14:00.7,204,204,1:50.4,12:33.01,-0.79,14:00.7,2:04.57,12:58.75,-0.5,C+169,294,294,36.49,25:05.84,,35:24.25,2:28.76,31:44.03,-1.48,2:04.7,39,39,25.83,2:18.15,0.52,2:04.7,37.92,2:55.74,1.35,180,16,16,16.06,155.2,1.54,180.0,16.06,155.2,1.54,C+22,112,112,46.45,14:52.56,,16:22,1:11.71,16:43.43,0.3,2:18.5,55,55,1:06.6,3:21.34,0.94,2:18.5,1:28.13,3:52.03,1.06
Steph Dekker,920,3:02.4,89,89,31.21,3:22.71,0.65,3:02.4,31.21,3:22.71,0.65,12:43.2,152,152,1:50.4,12:33.01,-0.09,12:43.2,2:04.57,12:58.75,0.12,C+53,34,34,36.49,25:05.84,,28:39,2:28.76,31:44.03,1.24,C+5,154,154,25.83,2:18.15,,3:05,37.92,2:55.74,-0.24,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,C+21,110,110,46.45,14:52.56,,16:21,1:11.71,16:43.43,0.31,3:31.8,139,139,1:06.6,3:21.34,-0.16,3:31.8,1:28.13,3:52.03,0.23
Holly Mata,922,3:28.4,194,194,31.21,3:22.71,-0.18,3:28.4,31.21,3:22.71,-0.18,12:02.2,116,116,1:50.4,12:33.01,0.28,12:02.2,2:04.57,12:58.75,0.45,C+109,141,141,36.49,25:05.84,,31:45,2:28.76,31:44.03,-0.01,C+4,146,146,25.83,2:18.15,,3:04,37.92,2:55.74,-0.22,161,105,105,16.06,155.2,0.36,161.0,16.06,155.2,0.36,C+24,120,120,46.45,14:52.56,,16:24,1:11.71,16:43.43,0.27,2:56.4,100,100,1:06.6,3:21.34,0.37,2:56.4,1:28.13,3:52.03,0.63
Jamie Hagiya,924,2:31.0,8,8,31.21,3:22.71,1.66,2:31,31.21,3:22.71,1.66,12:35.4,146,146,1:50.4,12:33.01,-0.02,12:35.4,2:04.57,12:58.75,0.19,C+113,157,157,36.49,25:05.84,,32:05,2:28.76,31:44.03,-0.14,C+40,285,285,25.83,2:18.15,,3:40,37.92,2:55.74,-1.17,167,62,62,16.06,155.2,0.73,167.0,16.06,155.2,0.73,C+38,154,154,46.45,14:52.56,,16:38,1:11.71,16:43.43,0.08,3:13.1,112,112,1:06.6,3:21.34,0.12,3:13.1,1:28.13,3:52.03,0.44
Ericka Letendre,932,3:05.3,103,103,31.21,3:22.71,0.56,3:05.3,31.21,3:22.71,0.56,14:50.3,241,241,1:50.4,12:33.01,-1.24,14:50.3,2:04.57,12:58.75,-0.9,C+120,188,188,36.49,25:05.84,,32:40,2:28.76,31:44.03,-0.38,C+3,140,140,25.83,2:18.15,,3:03,37.92,2:55.74,-0.19,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,C+22,112,112,46.45,14:52.56,,16:22,1:11.71,16:43.43,0.3,3:03.6,107,107,1:06.6,3:21.34,0.27,3:03.6,1:28.13,3:52.03,0.55
Colleen Fotsch,934,2:52.2,45,45,31.21,3:22.71,0.98,2:52.2,31.21,3:22.71,0.98,11:59.3,111,111,1:50.4,12:33.01,0.31,11:59.3,2:04.57,12:58.75,0.48,C+75,57,57,36.49,25:05.84,,29:45,2:28.76,31:44.03,0.8,C+80,298,298,25.83,2:18.15,,4:20,37.92,2:55.74,-2.22,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+36,151,151,46.45,14:52.56,,16:36,1:11.71,16:43.43,0.1,5:44.0,241,241,1:06.6,3:21.34,-2.14,5:44,1:28.13,3:52.03,-1.27
Bridget Erickson,938,3:13.3,131,131,31.21,3:22.71,0.3,3:13.3,31.21,3:22.71,0.3,12:03.6,118,118,1:50.4,12:33.01,0.27,12:03.6,2:04.57,12:58.75,0.44,C+94,94,94,36.49,25:05.84,,30:42,2:28.76,31:44.03,0.42,2:13.7,48,48,25.83,2:18.15,0.17,2:13.7,37.92,2:55.74,1.11,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,15:26.0,32,32,46.45,14:52.56,-0.72,15:26,1:11.71,16:43.43,1.08,C+7,273,273,1:06.6,3:21.34,,6:07,1:28.13,3:52.03,-1.53
Julianne Broadbent,945,3:15.1,138,138,31.21,3:22.71,0.24,3:15.1,31.21,3:22.71,0.24,14:17.8,219,219,1:50.4,12:33.01,-0.95,14:17.8,2:04.57,12:58.75,-0.63,C+131,238,238,36.49,25:05.84,,33:35,2:28.76,31:44.03,-0.75,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,205,2,2,16.06,155.2,3.1,205.0,16.06,155.2,3.1,C+16,94,94,46.45,14:52.56,,16:16,1:11.71,16:43.43,0.38,2:09.5,38,38,1:06.6,3:21.34,1.08,2:09.5,1:28.13,3:52.03,1.16
Lauren Truszkowski,947,3:36.2,227,227,31.21,3:22.71,-0.43,3:36.2,31.21,3:22.71,-0.43,12:22.7,135,135,1:50.4,12:33.01,0.09,12:22.7,2:04.57,12:58.75,0.29,C+119,185,185,36.49,25:05.84,,32:35,2:28.76,31:44.03,-0.34,2:53.0,100,100,25.83,2:18.15,-1.35,2:53,37.92,2:55.74,0.07,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,C+5,65,65,46.45,14:52.56,,16:05,1:11.71,16:43.43,0.54,2:57.7,102,102,1:06.6,3:21.34,0.35,2:57.7,1:28.13,3:52.03,0.62
Valerie Voboril,953,3:21.6,166,166,31.21,3:22.71,0.04,3:21.6,31.21,3:22.71,0.04,13:12.2,172,172,1:50.4,12:33.01,-0.35,13:12.2,2:04.57,12:58.75,-0.11,C+78,66,66,36.49,25:05.84,,29:54,2:28.76,31:44.03,0.74,2:41.8,85,85,25.83,2:18.15,-0.92,2:41.8,37.92,2:55.74,0.37,135,261,261,16.06,155.2,-1.26,135.0,16.06,155.2,-1.26,14:39.0,14,14,46.45,14:52.56,0.29,14:39,1:11.71,16:43.43,1.74,4:11.7,189,189,1:06.6,3:21.34,-0.76,4:11.7,1:28.13,3:52.03,-0.22
courtney bowman,962,3:20.0,155,155,31.21,3:22.71,0.09,3:20,31.21,3:22.71,0.09,11:53.1,101,101,1:50.4,12:33.01,0.36,11:53.1,2:04.57,12:58.75,0.53,C+113,157,157,36.49,25:05.84,,32:05,2:28.76,31:44.03,-0.14,2:15.6,49,49,25.83,2:18.15,0.1,2:15.6,37.92,2:55.74,1.06,157,124,124,16.06,155.2,0.11,157.0,16.06,155.2,0.11,C+55,201,201,46.45,14:52.56,,16:55,1:11.71,16:43.43,-0.16,3:56.3,175,175,1:06.6,3:21.34,-0.52,3:56.3,1:28.13,3:52.03,-0.05
Sarah Hopping Estrella,976,2:48.2,32,32,31.21,3:22.71,1.11,2:48.2,31.21,3:22.71,1.11,10:56.0,53,53,1:50.4,12:33.01,0.88,10:56,2:04.57,12:58.75,0.99,C+131,238,238,36.49,25:05.84,,33:35,2:28.76,31:44.03,-0.75,C+160,308,308,25.83,2:18.15,,5:40,37.92,2:55.74,-4.33,192,4,4,16.06,155.2,2.29,192.0,16.06,155.2,2.29,C+104,251,251,46.45,14:52.56,,17:44,1:11.71,16:43.43,-0.84,2:47.8,90,90,1:06.6,3:21.34,0.5,2:47.8,1:28.13,3:52.03,0.73
